Country,Year,Month,Total Exports FAS - General Imports Customs Val.
Japan,2022,5,11064813
Japan,2022,6,32415466
Japan,2022,7,62001313
Japan,2022,8,154249516
Japan,2022,9,192198911
Japan,2022,10,54571870
Japan,2022,11,68276840
Japan,2022,12,161836850
Japan,2023,1,3106370
Japan,2023,2,36625625
Japan,2023,3,74741392
Japan,2023,4,217244193
Japan,2023,5,110341297
Japan,2023,6,36098357
Japan,2023,7,171482451
Japan,2023,8,87619152
Japan,2023,9,226433515
Mexico,2020,1,232970462
Mexico,2020,2,370684902
Mexico,2020,3,856756208
Mexico,2020,4,1433120
Mexico,2020,5,788253
Mexico,2020,6,33414946
Mexico,2020,7,300030539
Mexico,2020,8,199472793
Mexico,2020,9,1261971005
Mexico,2020,10,470829822
Mexico,2020,11,439941107
Mexico,2020,12,609340906
Mexico,2021,1,3129924622
Mexico,2021,2,137905621
Mexico,2021,3,45692027
Mexico,2021,4,61461403
Mexico,2021,5,905267690
Mexico,2021,6,261771455
Mexico,2021,7,995583998
Mexico,2021,8,1028963592
Mexico,2021,9,475871376
Mexico,2021,10,1562598918
Mexico,2021,11,1397713328
Mexico,2021,12,550761986
Mexico,2022,1,295763152
Mexico,2022,2,247265872
Mexico,2022,3,1020659186
Mexico,2022,4,307551489
Mexico,2022,5,250874819
Mexico,2023,9,157186
Mexico,2023,10,20674489
Mexico,2023,11,17205587
Mexico,2023,12,21296789
Mexico,2024,1,203951128
Mexico,2024,2,207371845
Mexico,2024,3,200807384
Mexico,2024,4,9114127
Mexico,2024,5,293677897
Mexico,2024,6,182016547
Mexico,2024,7,218528329
Mexico,2024,8,18554140
Mexico,2024,9,107296682
Mexico,2024,10,747818456
Mexico,2024,11,316120427
Mexico,2024,12,11118621
Mexico,2025,1,1017868332
Mexico,2025,2,133111795
Mexico,2025,3,548890578
Mexico,2025,4,2638865
Mexico,2025,5,95533401
Mexico,2025,6,538129231
Mexico,2025,7,310259216
